Printing Partners Pops Series: An Evening with Megan Hilty|Hilbert Circle Theatre|7-8
LEGO KidsFest Indiana|Indiana Convention Center & Lucas Oil Stadium|7-9
Indianapolis LGBT Film Festival|Indianapolis Museum of Art|7-9
Spirit & Place Civic Festival: Journey|Downtown Indianapolis|7-16
Wise Traditions Nutrition and Health Conference|JW Marriott Indianapolis|7-9
VonnegutFest|Kurt Vonnegut Memorial Library|7-8
Dancing Pros Live!|Old National Centre|8
Rhythm! 5 Year Anniversary Celebration|Rhythm! Discovery Center|8
Vintage Paper Ornament Class|Indianapolis Museum of Art|8
Great Indy Pet Expo|Indiana State Fairgrounds|8-9
Spirit & Place Civic Festival - Love Starts Here|Indiana Interchurch Center|8
Washington Wizards vs. Indiana Pacers|Bankers Life Fieldhouse|8