East|AMC Castleton Square 14|Ouija
East|AMC Showplace Washington Square 12|Fury
East|AMC Castleton Square 14|The Book of Life
East|Regal Shiloh Stadium 18|John Wick
East|Regal Shiloh Stadium 18|St. Vincent
East|Regal Shiloh Stadium 18|Gone Girl
East|AMC Castleton Square 14|Fury
East|AMC Castleton Square 14|Dracula Untold
East|AMC Castleton Square 14|Alexander and the Terrible, Horrible, No Good, Very Bad Day
East|AMC Castleton Square 14|Annabelle
East|AMC Castleton Square 14|John Wick
East|AMC Castleton Square 14|The Judge
East|AMC Castleton Square 14|St. Vincent
East|AMC Castleton Square 14|The Equalizer
East|AMC Castleton Square 14|Gone Girl
East|AMC Castleton Square 14|The Book of Life 3D
East|AMC Castleton Square 14|The Best of Me
East|AMC Castleton Square 14|Addicted
East|AMC Showplace Washington Square 12|Ouija
East|AMC Showplace Washington Square 12|Annabelle
East|AMC Showplace Washington Square 12|The Maze Runner
East|AMC Showplace Washington Square 12|Alexander and the Terrible, Horrible, No Good, Very Bad Day
East|AMC Showplace Washington Square 12|The Equalizer
East|AMC Showplace Washington Square 12|John Wick
East|AMC Showplace Washington Square 12|The Book of Life 3D
East|AMC Showplace Washington Square 12|St. Vincent
East|AMC Showplace Washington Square 12|Addicted
East|AMC Showplace Washington Square 12|Gone Girl
East|AMC Showplace Washington Square 12|Dear White People
East|AMC Showplace Washington Square 12|The Best of Me
East|AMC Showplace Washington Square 12|Happy New Year (Hindi)
East|AMC Showplace Washington Square 12|The Book of Life
East|Regal Shiloh Stadium 18|Ouija
East|Regal Shiloh Stadium 18|Fury
East|Regal Shiloh Stadium 18|Alexander and the Terrible, Horrible, No Good, Very Bad Day

East|Regal Shiloh Stadium 18|The Best of Me
East|Regal Shiloh Stadium 18|The Book of Life
East|Regal Shiloh Stadium 18|Dracula Untold
East|Regal Shiloh Stadium 18|Annabelle
East|Regal Shiloh Stadium 18|The Judge
East|Regal Shiloh Stadium 18|The Maze Runner
East|Regal Shiloh Stadium 18|The Equalizer
East|Regal Shiloh Stadium 18|The Book of Life 3D
East|Regal Shiloh Stadium 18|The Boxtrolls
East|Regal Shiloh Stadium 18|23 Blast
East|Regal Shiloh Stadium 18|Guardians of the Galaxy
East|Regal Shiloh Stadium 18|22 Jump Street
East|Regal Shiloh Stadium 18|Men, Women & Children
East|Regal Shiloh Stadium 18|Dolphin Tale 2