West,UA Circle Center 9,Ouija
West,UA Circle Center 9,John Wick
West,UA Circle Center 9,Fury
West,UA Circle Center 9,Gone Girl
West,IMAX Theater in the Indiana State Museum,Island of Lemurs: Madagascar: An IMAX 3D Experience
West,IMAX Theater in the Indiana State Museum,Jerusalem
West,IMAX Theater in the Indiana State Museum,Penguins 3D IMAX (The Penguin King 3D IMAX)
South,AMC Showplace Indianapolis 17,Ouija
South,AMC Showplace Indianapolis 17,The Judge
South,AMC Showplace Indianapolis 17,Fury
South,AMC Showplace Indianapolis 17,The Maze Runner
South,AMC Showplace Indianapolis 17,Alexander and the Terrible, Horrible, No Good, Very Bad Day
South,AMC Showplace Indianapolis 17,The Equalizer
South,AMC Showplace Indianapolis 17,John Wick
South,AMC Showplace Indianapolis 17,The Book of Life 3D
South,AMC Showplace Indianapolis 17,St. Vincent
South,AMC Showplace Indianapolis 17,Addicted
South,AMC Showplace Indianapolis 17,Gone Girl
South,AMC Showplace Indianapolis 17,23 Blast
South,AMC Showplace Indianapolis 17,The Best of Me
South,AMC Showplace Indianapolis 17,John Wick: The IMAX Experience
South,AMC Showplace Indianapolis 17,The Book of Life
South,AMC Showplace Indianapolis 17,Guardians of the Galaxy
South,AMC Showplace Indianapolis 17,Dracula Untold
South,AMC Showplace Indianapolis 17,22 Jump Street
South,AMC Showplace Indianapolis 17,Annabelle
South,AMC Showplace Indianapolis 17,Men, Women & Children
North,Georgetown 14 Digital Cinemas,Ouija
North,Georgetown 14 Digital Cinemas,Dracula Untold
North,Georgetown 14 Digital Cinemas,Fury
North,Georgetown 14 Digital Cinemas,Annabelle
North,Georgetown 14 Digital Cinemas,Alexander and the Terrible, Horrible, No Good, Very Bad Day
North,Georgetown 14 Digital Cinemas,The Maze Runner
North,Georgetown 14 Digital Cinemas,John Wick
North,Georgetown 14 Digital Cinemas,The Equalizer
North,Georgetown 14 Digital Cinemas,Gone Girl
North,Georgetown 14 Digital Cinemas,Addicted
North,Georgetown 14 Digital Cinemas,The Best of Me
North,Georgetown 14 Digital Cinemas,No Good Deed
North,Landmark's Glendale 12,Ouija
North,Landmark's Glendale 12,Annabelle
North,Landmark's Glendale 12,Fury
North,Landmark's Glendale 12,The Judge
North,Landmark's Glendale 12,Alexander and the Terrible, Horrible, No Good, Very Bad Day
North,Landmark's Glendale 12,The Equalizer
North,Landmark's Glendale 12,John Wick
North,Landmark's Glendale 12,The Book of Life 3D
North,Landmark's Glendale 12,Gone Girl
North,Landmark's Glendale 12,Addicted
North,Landmark's Glendale 12,The Best of Me
North,Landmark's Glendale 12,Dear White People
South,Cinemark Movies 8 - Greenwood Corners,Teenage Mutant Ninja Turtles
South,Cinemark Movies 8 - Greenwood Corners,When the Game Stands Tall
South,Cinemark Movies 8 - Greenwood Corners,Let's Be Cops
South,Cinemark Movies 8 - Greenwood Corners,Into the Storm
South,Cinemark Movies 8 - Greenwood Corners,The Giver
South,Cinemark Movies 8 - Greenwood Corners,If I Stay
South,Cinemark Movies 8 - Greenwood Corners,Maleficent
South,Cinemark Movies 8 - Greenwood Corners,Hotel Transylvania
South,Cinemark Movies 8 - Greenwood Corners,The Hundred-Foot Journey
South,Cinemark Movies 8 - Greenwood Corners,Maleficent 3D
South,Regal Greenwood Park 14,Ouija
South,Regal Greenwood Park 14,The Book of Life
South,Regal Greenwood Park 14,Fury
South,Regal Greenwood Park 14,Dracula Untold
South,Regal Greenwood Park 14,Alexander and the Terrible, Horrible, No Good, Very Bad Day
South,Regal Greenwood Park 14,Annabelle
South,Regal Greenwood Park 14,John Wick
South,Regal Greenwood Park 14,The Judge
South,Regal Greenwood Park 14,St. Vincent
South,Regal Greenwood Park 14,The Maze Runner
South,Regal Greenwood Park 14,Gone Girl
South,Regal Greenwood Park 14,The Book of Life 3D
South,Regal Greenwood Park 14,The Best of Me
West,Studio Movie Grill - College Park,Ouija
West,Studio Movie Grill - College Park,The Book of Life
West,Studio Movie Grill - College Park,Fury
West,Studio Movie Grill - College Park,Dracula Untold
West,Studio Movie Grill - College Park,Alexander and the Terrible, Horrible, No Good, Very Bad Day
West,Studio Movie Grill - College Park,Annabelle
West,Studio Movie Grill - College Park,John Wick
West,Studio Movie Grill - College Park,The Judge
West,Studio Movie Grill - College Park,St. Vincent
West,Studio Movie Grill - College Park,The Equalizer
West,Studio Movie Grill - College Park,Gone Girl
West,Studio Movie Grill - College Park,Addicted
West,Studio Movie Grill - College Park,The Best of Me
West,Studio Movie Grill - College Park,Men, Women & Children
East,AMC Castleton Square 14,Ouija
East,AMC Castleton Square 14,The Book of Life
East,AMC Castleton Square 14,Fury
East,AMC Castleton Square 14,Dracula Untold
East,AMC Castleton Square 14,Alexander and the Terrible, Horrible, No Good, Very Bad Day
East,AMC Castleton Square 14,Annabelle
East,AMC Castleton Square 14,John Wick
East,AMC Castleton Square 14,The Judge
East,AMC Castleton Square 14,St. Vincent
East,AMC Castleton Square 14,The Equalizer
East,AMC Castleton Square 14,Gone Girl
East,AMC Castleton Square 14,The Book of Life 3D
East,AMC Castleton Square 14,The Best of Me
East,AMC Castleton Square 14,Addicted
East,AMC Showplace Washington Square 12,Ouija
East,AMC Showplace Washington Square 12,Annabelle
East,AMC Showplace Washington Square 12,Fury
East,AMC Showplace Washington Square 12,The Maze Runner
East,AMC Showplace Washington Square 12,Alexander and the Terrible, Horrible, No Good, Very Bad Day
East,AMC Showplace Washington Square 12,The Equalizer
East,AMC Showplace Washington Square 12,John Wick
East,AMC Showplace Washington Square 12,The Book of Life 3D
East,AMC Showplace Washington Square 12,St. Vincent
East,AMC Showplace Washington Square 12,Addicted
East,AMC Showplace Washington Square 12,Gone Girl
East,AMC Showplace Washington Square 12,Dear White People
East,AMC Showplace Washington Square 12,The Best of Me
East,AMC Showplace Washington Square 12,Happy New Year (Hindi)
East,AMC Showplace Washington Square 12,The Book of Life
East,Regal Shiloh Stadium 18,Ouija
East,Regal Shiloh Stadium 18,Fury
East,Regal Shiloh Stadium 18,Alexander and the Terrible, Horrible, No Good, Very Bad Day
East,Regal Shiloh Stadium 18,John Wick
East,Regal Shiloh Stadium 18,St. Vincent
East,Regal Shiloh Stadium 18,Gone Girl
East,Regal Shiloh Stadium 18,The Best of Me
East,Regal Shiloh Stadium 18,The Book of Life
East,Regal Shiloh Stadium 18,Dracula Untold
East,Regal Shiloh Stadium 18,Annabelle
East,Regal Shiloh Stadium 18,The Judge
East,Regal Shiloh Stadium 18,The Maze Runner
East,Regal Shiloh Stadium 18,The Equalizer
East,Regal Shiloh Stadium 18,The Book of Life 3D
East,Regal Shiloh Stadium 18,The Boxtrolls
East,Regal Shiloh Stadium 18,23 Blast
East,Regal Shiloh Stadium 18,Guardians of the Galaxy
East,Regal Shiloh Stadium 18,22 Jump Street
East,Regal Shiloh Stadium 18,Men, Women & Children
East,Regal Shiloh Stadium 18,Dolphin Tale 2














